Processes,Size,Algorithm,Latency
26,262144,2,
26,262144,3,
26,524288,1,
26,524288,2,
26,524288,3,
26,1048576,1,
26,1048576,2,
26,1048576,3,
28,2,1,
28,2,2,
28,2,3,
28,4,1,
28,4,2,
28,4,3,
28,8,1,
28,8,2,
28,8,3,
28,16,1,
28,16,2,
28,16,3,
28,32,1,
28,32,2,
28,32,3,
28,64,1,
28,64,2,
28,64,3,
28,128,1,
28,128,2,
28,128,3,
28,256,1,
28,256,2,
28,256,3,
28,512,1,
28,512,2,
28,512,3,
28,1024,1,
28,1024,2,
28,1024,3,
28,2048,1,
28,2048,2,
28,2048,3,
28,4096,1,
28,4096,2,
28,4096,3,
28,8192,1,
28,8192,2,
28,8192,3,
28,16384,1,
28,16384,2,
28,16384,3,
28,32768,1,
28,32768,2,
28,32768,3,
28,65536,1,
28,65536,2,
28,65536,3,
28,131072,1,
28,131072,2,
28,131072,3,
28,262144,1,
28,262144,2,
28,262144,3,
28,524288,1,
28,524288,2,
28,524288,3,
28,1048576,1,
28,1048576,2,
28,1048576,3,
30,2,1,
30,2,2,
30,2,3,
30,4,1,
30,4,2,
30,4,3,
30,8,1,
30,8,2,
30,8,3,
30,16,1,
30,16,2,
30,16,3,
30,32,1,
30,32,2,
30,32,3,
30,64,1,
30,64,2,
30,64,3,
30,128,1,
30,128,2,
30,128,3,
30,256,1,
30,256,2,
30,256,3,
30,512,1,
30,512,2,
30,512,3,
30,1024,1,
30,1024,2,
30,1024,3,
30,2048,1,
30,2048,2,
30,2048,3,
30,4096,1,
30,4096,2,
30,4096,3,
30,8192,1,
30,8192,2,
30,8192,3,
30,16384,1,
30,16384,2,
30,16384,3,
30,32768,1,
30,32768,2,
30,32768,3,
30,65536,1,
30,65536,2,
30,65536,3,
30,131072,1,
30,131072,2,
30,131072,3,
30,262144,1,
30,262144,2,
30,262144,3,
30,524288,1,
30,524288,2,
